Designator,Mid X,Mid Y,Rotation,Layer
C1,68.834,-103.378,270.0,top
C10,132.82,-98.14,0.0,top
C11,67.49,-83.51,0.0,top
C12,67.41,-81.11,90.0,top
C13,108.122,-102.87,270.0,top
C14,97.028,-102.616,270.0,top
C15,140.716,-85.344,180.0,top
C16,117.602,-82.042,180.0,top
C17,115.316,-77.47,90.0,top
C18,140.55,-99.39,0.0,top
C19,66.27,-115.86,270.0,top
C2,144.526,-99.568,90.0,top
C3,89.916,-100.584,0.0,top
C4,114.218,-97.536,270.0,top
C5,111.424,-102.616,0.0,top
C6,121.838,-97.536,270.0,top
C7,132.78,-96.04,180.0,top
C8,100.756,-83.185,90.0,top
C9,96.012,-83.566,90.0,top
D1,105.328,-90.17,270.0,top
D2,134.284,-91.694,180.0,top
D3,96.012,-96.266,180.0,top
D4,59.436,-109.093,90.0,top
D5,65.2625,-109.02,0.0,top
D6,59.436,-105.791,270.0,top
D7,65.27,-103.94,0.0,top
D8,136.9845,-102.108,180.0,top
J1,62.865,-121.412,270.0,top
J2,78.788,-95.504,0.0,top
J3,99.314,-91.186,270.0,top
L1,113.71,-91.186,180.0,top
L2,122.6,-91.186,0.0,top
MK1,119.38,-74.946,0.0,top
Q1,79.859365,-102.87,180.0,top
Q10,143.428,-92.964,90.0,top
Q11,64.262,-100.076,180.0,top
Q12,68.48,-112.24,270.0,top
Q13,68.51,-123.09,90.0,top
Q2,83.669492,-102.468046,0.0,top
Q3,92.456,-97.4575,90.0,top
Q4,91.44,-87.9625,270.0,top
Q5,95.25,-87.884,90.0,top
Q6,136.9845,-98.364,180.0,top
Q7,122.63,-103.13,270.0,top
Q8,118.028008,-99.314,0.0,top
Q9,143.428,-88.9,270.0,top
R1,61.37,-115.55,180.0,top
R10,129.966,-97.028,90.0,top
R11,97.2,-99.06,90.0,top
R12,64.94,-107.3,180.0,top
R13,64.91,-110.77,0.0,top
R14,64.92,-105.78,180.0,top
R15,65.99,-90.23,90.0,top
R16,64.88,-112.44,0.0,top
R17,99.314,-86.36,180.0,top
R18,91.44,-90.932,180.0,top
R19,96.496,-78.994,180.0,top
R2,68.51,-120.39,0.0,top
R20,92.71,-83.82,270.0,top
R21,140.8195,-98.044,0.0,top
R22,140.8095,-96.52,0.0,top
R23,122.6,-100.21,180.0,top
R24,119.044008,-104.14,0.0,top
R25,90.424,-84.074,90.0,top
R26,66.04,-86.106,270.0,top
R27,92.71,-100.33,180.0,top
R28,143.428,-96.774,90.0,top
R29,139.872,-87.376,180.0,top
R3,64.89,-114.01,0.0,top
R30,140.716,-83.566,0.0,top
R31,68.58,-125.84,0.0,top
R32,68.53,-118.76,0.0,top
R33,67.056,-99.822,90.0,top
R34,120.65,-81.28,270.0,top
R35,113.792,-82.296,0.0,top
R36,106.68,-78.74,0.0,top
R37,106.68,-76.962,0.0,top
R38,110.49,-82.296,0.0,top
R4,68.58,-100.33,90.0,top
R5,86.209492,-102.87,270.0,top
R6,87.122,-100.33,180.0,top
R7,111.17,-100.584,0.0,top
R8,108.376,-99.06,270.0,top
R9,128.188,-97.028,270.0,top
SW1,142.03,-102.33,270.0,top
SW2,129.712,-101.346,90.0,top
SW3,66.04,-95.504,180.0,top
U1,73.406,-102.108,0.0,top
U2,88.749492,-103.124,0.0,top
U3,111.17,-97.536,0.0,top
U4,125.14,-97.536,180.0,top
U5,78.458,-85.722,0.0,top
U6,102.534,-101.092,180.0,top
U7,88.646,-95.0932,180.0,top
U8,111.506,-77.47,0.0,top
U9,68.29,-115.69,90.0,top
V1,108.307492,-115.824,0.0,top
